Index,이름,행 개수,열 개수,지번 개수,도로 위치
0,WORKSHOP01,48,260.4,9,Down
1,WORKSHOP02,48,267,9,Down
2,WORKSHOP03,48,87,3,Down
3,WORKSHOP04,136,173.5,4,Up
