Index,프로젝트번호,블록번호,행개수,열개수,중량,공정투입일,공정반출일,선호작업장,선호지번
320,5474,20J,19.5,23,316,2020-05-04,2020-05-28,,
321,5474,50N,19.8,45.9,296,2020-04-13,2020-05-07,,
322,5474,62H,18.4,18.6,618,2020-05-08,2020-06-04,,
323,5474,63H,18.4,18.6,618,2020-05-08,2020-06-04,,
324,5474,62J,19.5,18.6,557,2020-05-07,2020-06-02,,
325,5474,63J,19.5,18.6,557,2020-05-07,2020-06-02,,
326,5474,50J,19.5,53.1,455,2020-05-15,2020-06-09,,
327,5474,80A,23.6,43.3,459,2020-05-04,2020-05-29,,
328,5477,12E,40,23.7,456,2020-08-13,2020-09-11,,
329,5477,50F,19.6,53,557,2020-08-24,2020-09-15,,
330,5477,13E,40,23,463,2020-08-14,2020-09-11,,
331,5477,50A,20.4,53,458,2020-08-28,2020-09-18,,
332,5477,11A,47,49.1,1578,2020-07-10,2020-08-27,2,
333,5477,62A,20.4,22.3,280,2020-08-12,2020-09-04,,
334,5477,23B,20.5,29.6,693,2020-07-20,2020-08-28,,
335,5477,50G,18.7,53,485,2020-08-27,2020-09-18,,
336,5477,50B,20.5,53,444,2020-09-01,2020-09-23,,
337,5477,10A,30.3,23.8,562,2020-06-10,2020-07-14,,
338,5477,22B,20.5,29.6,678,2020-07-20,2020-08-28,,
339,5477,10C,40.1,49.1,499,2020-06-26,2020-07-24,,
340,5477,62E,20.3,18.6,572,2020-08-12,2020-09-07,,
341,5477,63A,20.4,22.3,280,2020-08-12,2020-09-04,,
342,5477,62G,18.7,18.6,582,2020-08-18,2020-09-14,,
343,5477,63G,18.7,18.6,582,2020-08-18,2020-09-14,,
344,5477,10F,20.7,21.7,239,2020-08-21,2020-09-18,,
345,5477,63E,20.3,18.6,572,2020-08-12,2020-09-07,,
346,5477,62F,19.6,18.6,668,2020-08-17,2020-09-10,,
347,5477,63F,19.6,18.6,668,2020-08-17,2020-09-10,,
348,5477,12D,40.1,26.5,380,2020-08-13,2020-09-08,,
349,5477,22A,20.4,25,585,2020-07-17,2020-08-28,,
350,5477,11B,15.8,29,326,2020-05-11,2020-05-22,,
351,5477,13D,40.1,28.2,329,2020-08-13,2020-09-08,,
352,5477,50E,20.3,53,481,2020-08-21,2020-09-11,,
353,5477,23A,20.4,25,599,2020-07-17,2020-08-28,,
354,5478,20C,19.8,60,2459,2020-09-01,2020-10-13,,
355,5478,10F,20.7,21.7,239,2020-10-07,2020-11-04,,
356,5478,23B,20.5,29.6,693,2020-09-16,2020-10-15,,
357,5478,63E,20.3,18.6,572,2020-09-28,2020-10-27,,
358,5478,12E,40,23.7,456,2020-09-22,2020-10-29,,
359,5478,63H,18.4,18.6,618,2020-10-27,2020-11-23,,
360,5478,20G,18.7,22.9,616,2020-10-26,2020-11-20,,
361,5478,13E,40,23,463,2020-09-23,2020-10-29,,
362,5478,12D,40.1,26.5,380,2020-09-22,2020-10-26,,
363,5478,20H,18.4,22.9,520,2020-10-26,2020-11-20,,
364,5478,23A,20.4,25,599,2020-09-16,2020-10-14,,
365,5478,50A,20.4,53,458,2020-10-13,2020-11-05,,
366,5478,50E,20.3,53,481,2020-10-13,2020-11-04,,
367,5478,50N,19.8,45.9,296,2020-10-09,2020-10-30,,
368,5478,50F,19.6,53,557,2020-10-14,2020-11-09,,
369,5478,62E,20.3,18.6,572,2020-09-28,2020-10-27,,
370,5478,62G,18.7,18.6,582,2020-10-27,2020-11-23,,
371,5478,22A,20.4,25,585,2020-09-16,2020-10-14,,
372,5478,80D,23.6,43,364,2020-11-04,2020-12-02,,
373,5478,50H,18.4,53,504,2020-11-10,2020-12-02,,
374,5478,80A,23.6,37.1,459,2020-10-27,2020-11-25,,
375,5478,13D,40.1,28.2,329,2020-09-22,2020-10-26,,
376,5478,62F,19.6,18.6,668,2020-10-06,2020-10-30,,
377,5478,63F,19.6,18.6,668,2020-10-06,2020-10-30,,
378,5478,63A,20.4,22.3,280,2020-09-24,2020-10-23,,
379,5478,50D,18.2,53,413,2020-08-26,2020-09-16,,
380,5478,22B,20.5,29.6,678,2020-09-16,2020-10-15,,
381,5478,10A,30.3,23.8,562,2020-07-22,2020-09-02,,
382,5478,11A,47,49.1,1578,2020-08-28,2020-10-14,2,
383,5478,10C,40.1,49.1,499,2020-08-17,2020-09-14,,
384,5478,62H,18.4,18.6,618,2020-10-27,2020-11-23,,
385,5478,63G,18.7,18.6,583,2020-10-27,2020-11-23,,
386,5478,50C,19.8,53,521,2020-08-25,2020-09-15,,
387,5478,62A,20.4,22.3,280,2020-09-24,2020-10-23,,
388,5478,11B,15.8,29,326,2020-06-15,2020-06-26,,
389,5478,20N,19.8,60,1925,2020-10-19,2020-11-25,,
390,5478,50G,18.7,53,485,2020-11-04,2020-11-30,,
391,5478,50B,20.5,53,444,2020-10-15,2020-11-09,,
