Index,프로젝트번호,블록번호,행개수,열개수,중량,공정투입일,공정반출일,선호작업장,선호지번
197,2504,80E,12.8,39.3,389,2020-10-29,2020-11-30,,
198,2504,10J,16.5,42.4,354,2020-10-09,2020-11-05,,
199,2505,80E,12.8,39.3,389,2020-09-15,2020-10-20,,
200,2505,10J,16.5,42.4,354,2020-08-26,2020-09-22,,
201,2505,62A,55,16.5,488,2020-07-20,2020-08-31,,
202,2505,10G,21.9,46.4,459,2020-08-25,2020-09-23,,
203,2505,13B,22.1,11.7,207,2020-07-17,2020-08-28,,
204,2505,80A,37.9,27.5,744,2020-09-07,2020-10-15,,
205,2505,10F,21.4,46.4,554,2020-08-24,2020-09-21,,
206,2505,10D,21.4,46.4,588,2020-08-13,2020-09-11,,
207,2505,10C,21.9,44.4,579,2020-08-12,2020-09-09,,
208,2505,80B,25.7,30.3,636,2020-09-17,2020-10-21,,
209,2505,22D,19.2,41,455,2020-08-10,2020-09-01,,
210,2505,10E,21.9,46.4,389,2020-08-19,2020-09-16,,
211,2505,21D,20.5,45.8,620,2020-08-10,2020-09-01,,
212,2505,12B,22.1,35,492,2020-07-15,2020-08-27,,
213,2505,51A,45.4,19.2,445,2020-09-10,2020-10-20,,
214,2505,63A,55,16.5,489,2020-07-20,2020-08-31,,
215,2505,11A,52.2,43.4,1429,2020-07-10,2020-08-25,2,
216,2505,10H,19.7,36.5,639,2020-08-18,2020-09-18,,
217,2506,10G,21.9,46.4,459,2020-12-31,2021-01-29,,
218,2506,51A,45.4,19.2,445,2021-01-28,2021-03-09,,
219,2506,10C,21.9,44.4,579,2020-12-17,2021-01-18,,
220,2506,11A,52.2,43.4,1429,2020-11-27,2021-01-04,2,
221,2506,13B,22.1,11.7,207,2020-12-09,2021-01-08,,
222,2506,10H,19.7,36.5,639,2020-12-23,2021-01-25,,
223,2506,10F,21.4,46.4,554,2020-12-29,2021-01-26,,
224,2506,21D,20.5,45.8,620,2020-12-28,2021-01-25,,
225,2506,12B,22.1,35,492,2020-12-07,2021-01-07,,
