Index,이름,행 개수,열 개수,지번 개수,행좌표,열좌표,상단도로,하단도로,좌측도로,우측도로,타입
0,WORKSHOP01,48,260.4,9,136,75,,0-260.4,0-48,,0
1,WORKSHOP02,48,267,9,136,450,,0-267,,,0
2,WORKSHOP03,48,87,3,136,718,,0-87,,,1
3,WORKSHOP04,136,173.5,4,0,0,,0-74,0-136,,0
4,MAINDOCK,136,544,0,0,174,,,,,-1
